pattern,n,freq_verde,lift_verde,freq_giallo,lift_giallo,freq_rosso,lift_rosso,dominant_target,max_lift
"('high', 'normal', 'low', 'normal', 'low')",5,0.0715010233171275,2.1568707693463907,0.038432683050978744,0.6206339611660979,0.01644129827872502,0.282099814833829,verde,2.1568707693463907
"('low', 'normal', 'low', 'normal', 'high')",5,0.07142054929269817,2.150777607974183,0.03857255092894844,0.6239255434776946,0.016234084436840383,0.27850808184212095,verde,2.150777607974183
"('high', 'normal', 'low', 'extremely_low', 'low')",5,0.012191962089365078,0.3512304927311802,0.03205674386694847,1.8245566368712396,0.04311167986021466,2.1413469276468677,rosso,2.1413469276468677
"('extremely_low', 'low', 'normal', 'high')",4,0.014937993032633691,0.36037919068196966,0.038121268105935795,1.7746121359737732,0.052031109721283525,2.1388188355158726,rosso,2.1388188355158726
"('high', 'normal', 'high', 'normal', 'low')",5,0.08418437807581007,2.1361198658998197,0.044778524084053514,0.6096998859736388,0.022428098196959557,0.3277439908810334,verde,2.1361198658998197
"('low', 'normal', 'high', 'normal', 'high')",5,0.08411657944716998,2.124988254549023,0.04492724435936307,0.6118201877383918,0.022684315312262858,0.33139728857498285,verde,2.124988254549023
"('high', 'normal', 'low', 'extremely_low')",4,0.014895860416443099,0.3586037691287488,0.03831913851245896,1.790572298800566,0.05176883580644185,2.1232315174469623,rosso,2.1232315174469623
"('low', 'normal', 'high', 'normal', 'low')",5,0.07192491213445117,2.1197250731517747,0.03911653074548251,0.6262226918619203,0.017529170948619367,0.2980662078203326,verde,2.1197250731517747
"('high', 'extremely_high', 'high', 'normal', 'low')",5,0.011890995133532346,0.3571445891244133,0.030880260260481792,1.822721409654816,0.04093173423984722,2.1010010188205395,rosso,2.1010010188205395
"('low', 'normal', 'high', 'extremely_high', 'high')",5,0.011940222833457975,0.3600122471931061,0.03076650695466466,1.8149114545619285,0.04075672254906628,2.0937291771721536,rosso,2.0937291771721536
"('extremely_high', 'high', 'normal', 'low')",4,0.014526389782156368,0.3646085392520871,0.03691129586069923,1.788821116373034,0.04915114038715665,2.083373395355094,rosso,2.083373395355094
"('low', 'normal', 'high', 'extremely_high')",4,0.014598771456124822,0.3675874470492103,0.036801779352275986,1.781081667891895,0.04897292862450782,2.0759326425198816,rosso,2.0759326425198816
"('low', 'extremely_low', 'low', 'normal')",4,0.027684729915525907,0.3627021900997949,0.0714867686069606,1.833914747777617,0.09171685177152579,2.0191188163616562,rosso,2.0191188163616562
"('normal', 'low', 'extremely_low', 'low')",4,0.02768076872938833,0.36293540390404627,0.07145343749570135,1.8344135162409567,0.0915722648697541,2.016639707396109,rosso,2.016639707396109
"('low', 'extremely_low', 'low', 'normal', 'low')",5,0.010392055887293918,0.35752945513190015,0.0278416748735767,1.9451124032901856,0.032940000392026186,1.8966353944293188,giallo,1.9451124032901856
"('low', 'normal', 'low', 'extremely_low', 'low')",5,0.010466929155444274,0.36061861184381816,0.02772172488962167,1.9235770598912063,0.03314721423391082,1.9088970629232387,giallo,1.9235770598912063
"('extremely_low', 'low', 'normal', 'low')",4,0.012695241463103711,0.3650014485584876,0.033279262863957215,1.9089357936403015,0.03955460509282143,1.8807224204303792,giallo,1.9089357936403015
"('low', 'normal', 'low', 'extremely_low')",4,0.012788149283421427,0.36816677754169946,0.033137473374790886,1.8876362458247187,0.039810154035487676,1.8930659957075329,rosso,1.8930659957075329
"('extremely_low', 'low', 'normal', 'low', 'normal')",5,0.009511852821557842,0.5070020797151422,0.01983866505848115,1.8844446593982802,0.015352025515304422,1.1255126341265629,giallo,1.8844446593982802
"('normal', 'low', 'normal', 'low', 'extremely_low')",5,0.009586136536415674,0.5122839152224395,0.019712518396388223,1.8555943109565063,0.015549438702505327,1.1404739206491783,giallo,1.8555943109565063
"('normal', 'low', 'extremely_low', 'low', 'normal')",5,0.020793839403914455,0.5074708167813125,0.04267785019530602,1.8263923749492077,0.03559037743721281,1.2047364718443854,giallo,1.8263923749492077
"('normal', 'high', 'normal', 'low', 'extremely_low')",5,0.011214777507009051,0.49462009358052517,0.02315565834172467,1.7891229220222984,0.021148412713969292,1.3227527033732813,giallo,1.7891229220222984
"('extremely_high', 'high', 'normal', 'low', 'normal')",5,0.010916168764346411,0.5131429387090235,0.021989797612065817,1.7844194774679616,0.019006269618810537,1.2387674263561568,giallo,1.7844194774679616
"('normal', 'low', 'normal', 'high', 'extremely_high')",5,0.010961269591224381,0.5151815766131949,0.022011485985548463,1.7821648384936177,0.01895166597128688,1.2323377762941587,giallo,1.7821648384936177
"('extremely_low', 'low', 'normal', 'high', 'normal')",5,0.011240717851880041,0.49430516070775044,0.02311980613249826,1.7740694961796826,0.02154043890131861,1.3471680866596318,giallo,1.7740694961796826
"('normal', 'high', 'extremely_high', 'high', 'normal')",5,0.023665553491791502,0.5001836045720846,0.04771929048035321,1.7317586064012573,0.04603087486244081,1.3830930208157108,giallo,1.7317586064012573
"('normal', 'high', 'normal', 'high', 'extremely_high')",5,0.012747910844213785,0.4985411607716372,0.02546790452689469,1.6939706036930602,0.025894729767948498,1.4520868280650945,giallo,1.6939706036930602
"('extremely_high', 'high', 'normal', 'high', 'normal')",5,0.012743783971166128,0.5025437285482747,0.025272266545683902,1.6864756474815596,0.025631512185013958,1.4438592131559826,giallo,1.6864756474815596
"('low', 'extremely_low', 'low', 'extremely_low', 'normal')",5,2.947766462612446e-07,0.0,0.0,0.0,0.0,0.0,verde,0.0
"('high', 'normal', 'high', 'normal', 'normal')",5,0.0001677279117226482,0.0,0.0,0.0,0.0,0.0,verde,0.0
"('high', 'normal', 'low', 'extremely_low', 'normal')",5,1.4738832313062232e-06,0.0,0.0,0.0,0.0,0.0,verde,0.0
"('high', 'normal', 'low', 'normal', 'normal')",5,0.00016743313507638696,0.0,0.0,0.0,0.0,0.0,verde,0.0
"('low', 'normal', 'high', 'extremely_high', 'normal')",5,1.0022405972882317e-05,0.0,0.0,0.0,0.0,0.0,verde,0.0
"('low', 'normal', 'high', 'normal', 'normal')",5,0.0001532838560558472,0.0,0.0,0.0,0.0,0.0,verde,0.0
"('high', 'extremely_high', 'high', 'normal', 'normal')",5,4.067917718405176e-05,0.0,0.0,0.0,0.0,0.0,verde,0.0
"('high', 'extremely_high', 'high', 'extremely_high', 'normal')",5,3.2425431088736907e-06,0.0,0.0,0.0,0.0,0.0,verde,0.0
"('high', 'normal', 'high', 'extremely_high', 'normal')",5,1.0022405972882317e-05,0.0,0.0,0.0,0.0,0.0,verde,0.0
"('extremely_high', 'high', 'normal', 'normal')",4,4.9694880635057365e-05,0.0,0.0,0.0,0.0,0.0,verde,0.0
"('low', 'normal', 'low', 'extremely_low', 'normal')",5,1.1791065850449784e-06,0.0,0.0,0.0,0.0,0.0,verde,0.0
"('low', 'normal', 'low', 'normal', 'normal')",5,0.00015004131294697352,0.0,0.0,0.0,0.0,0.0,verde,0.0
"('extremely_low', 'low', 'extremely_low', 'normal')",4,3.6010783068882146e-07,0.0,0.0,0.0,0.0,0.0,verde,0.0
"('normal', 'high', 'normal', 'normal')",4,0.00039215742762012656,0.0,0.0,0.0,0.0,0.0,verde,0.0
"('normal', 'high', 'extremely_high', 'normal')",4,2.448733248683986e-05,0.0,0.0,0.0,0.0,0.0,verde,0.0
"('normal', 'low', 'extremely_low', 'normal')",4,3.2409704761993933e-06,0.0,0.0,0.0,0.0,0.0,verde,0.0
"('normal', 'low', 'normal', 'normal')",4,0.0003878361336518607,0.0,0.0,0.0,0.0,0.0,verde,0.0
"('extremely_low', 'low', 'normal', 'normal')",4,5.0415096296435e-05,0.0,0.0,0.0,0.0,0.0,verde,0.0
"('extremely_high', 'high', 'extremely_high', 'normal')",4,3.961186137577036e-06,0.0,0.0,0.0,0.0,0.0,verde,0.0
"('low', 'extremely_low', 'low', 'normal', 'normal')",5,4.126873047657425e-05,0.0,0.0,0.0,0.0,0.0,verde,0.0
