symbol,start_time,end_time,label
d,2025-11-26T03:25:04,2025-11-26T03:45:03,low
c,2025-11-26T03:50:03,2025-11-26T03:55:03,normal
d,2025-11-26T04:00:04,2025-11-26T04:45:04,low
c,2025-11-26T04:50:04,2025-11-26T04:50:04,normal
d,2025-11-26T04:55:03,2025-11-26T05:25:03,low
c,2025-11-26T05:30:03,2025-11-26T19:25:04,normal
b,2025-11-26T19:30:04,2025-11-26T21:00:04,high
c,2025-11-26T21:05:04,2025-11-26T21:25:03,normal
b,2025-11-26T21:30:03,2025-11-26T21:45:03,high
a,2025-11-26T21:50:03,2025-11-26T22:20:04,extremely_high
b,2025-11-26T22:25:04,2025-11-26T22:35:03,high
c,2025-11-26T22:40:03,2025-11-27T09:00:03,normal
d,2025-11-27T09:05:03,2025-11-27T09:10:03,low
c,2025-11-27T09:15:04,2025-11-27T09:15:04,normal
d,2025-11-27T09:20:03,2025-11-27T09:35:03,low
c,2025-11-27T09:40:03,2025-11-27T10:50:03,normal
b,2025-11-27T10:55:03,2025-11-27T10:55:03,high
c,2025-11-27T11:00:03,2025-11-27T11:15:03,normal
b,2025-11-27T11:20:05,2025-11-27T12:40:03,high
c,2025-11-27T12:45:03,2025-11-27T12:45:03,normal
b,2025-11-27T12:50:03,2025-11-27T12:50:03,high
c,2025-11-27T12:55:03,2025-11-27T21:00:03,normal
b,2025-11-27T21:05:02,2025-11-27T21:30:03,high
c,2025-11-27T21:35:03,2025-11-28T03:25:02,normal
d,2025-11-28T03:30:03,2025-11-28T03:30:03,low
c,2025-11-28T03:35:02,2025-11-28T03:40:02,normal
d,2025-11-28T03:45:02,2025-11-28T04:40:02,low
c,2025-11-28T04:45:03,2025-11-28T05:05:03,normal
d,2025-11-28T05:10:02,2025-11-28T06:20:02,low
c,2025-11-28T06:25:02,2025-11-28T10:00:03,normal
d,2025-11-28T10:05:02,2025-11-28T10:35:03,low
c,2025-11-28T10:40:03,2025-11-28T14:30:02,normal
d,2025-11-28T14:35:02,2025-11-28T14:35:02,low
c,2025-11-28T14:40:02,2025-11-28T20:50:02,normal
d,2025-11-28T20:55:02,2025-11-28T21:00:02,low
c,2025-11-28T21:05:03,2025-11-29T01:15:02,normal
b,2025-11-29T01:20:02,2025-11-29T01:20:02,high
c,2025-11-29T01:25:02,2025-11-29T01:40:02,normal
b,2025-11-29T01:45:02,2025-11-29T01:55:02,high
c,2025-11-29T02:00:02,2025-11-29T02:00:02,normal
b,2025-11-29T02:05:01,2025-11-29T02:05:01,high
c,2025-11-29T02:10:03,2025-11-29T02:10:03,normal
b,2025-11-29T02:15:02,2025-11-29T02:25:02,high
c,2025-11-29T02:30:02,2025-11-29T02:35:02,normal
b,2025-11-29T02:40:02,2025-11-29T03:05:01,high
c,2025-11-29T03:10:02,2025-11-29T11:15:02,normal
d,2025-11-29T11:20:02,2025-11-29T11:55:02,low
c,2025-11-29T12:00:02,2025-11-29T19:25:02,normal
b,2025-11-29T19:30:01,2025-11-29T20:05:02,high
c,2025-11-29T20:10:02,2025-11-29T23:35:02,normal
b,2025-11-29T23:40:02,2025-11-29T23:40:02,high
c,2025-11-29T23:45:01,2025-11-29T23:50:02,normal
b,2025-11-29T23:55:02,2025-11-29T23:55:02,high
c,2025-11-30T00:00:01,2025-11-30T00:00:01,normal
b,2025-11-30T00:05:02,2025-11-30T00:40:01,high
c,2025-11-30T00:45:02,2025-11-30T13:05:01,normal
b,2025-11-30T13:10:02,2025-11-30T13:20:02,high
a,2025-11-30T13:25:02,2025-11-30T13:25:02,extremely_high
b,2025-11-30T13:30:01,2025-11-30T13:40:02,high
c,2025-11-30T13:45:02,2025-11-30T14:05:02,normal
d,2025-11-30T14:10:01,2025-11-30T14:15:02,low
c,2025-11-30T14:20:02,2025-11-30T15:00:01,normal
d,2025-11-30T15:05:02,2025-11-30T15:15:01,low
c,2025-11-30T15:20:01,2025-11-30T15:25:02,normal
d,2025-11-30T15:30:02,2025-11-30T15:30:02,low
c,2025-11-30T15:35:01,2025-11-30T17:05:01,normal
b,2025-11-30T17:10:01,2025-11-30T18:00:01,high
c,2025-11-30T18:05:01,2025-11-30T20:15:01,normal
b,2025-11-30T20:20:01,2025-11-30T20:55:02,high
c,2025-11-30T21:00:02,2025-11-30T23:50:01,normal
b,2025-11-30T23:55:01,2025-12-01T02:50:01,high
c,2025-12-01T02:55:01,2025-12-01T10:25:01,normal
b,2025-12-01T10:30:01,2025-12-01T10:50:01,high
a,2025-12-01T10:55:01,2025-12-01T11:05:01,extremely_high
b,2025-12-01T11:10:01,2025-12-01T12:30:01,high
c,2025-12-01T12:35:01,2025-12-01T13:25:02,normal
d,2025-12-01T13:30:01,2025-12-01T13:35:01,low
c,2025-12-01T13:40:02,2025-12-01T18:45:01,normal
b,2025-12-01T18:50:01,2025-12-01T20:10:01,high
c,2025-12-01T20:15:01,2025-12-01T20:55:01,normal
d,2025-12-01T21:00:01,2025-12-01T21:05:01,low
c,2025-12-01T21:10:01,2025-12-02T13:04:33,normal
b,2025-12-02T13:09:33,2025-12-02T13:09:33,high
c,2025-12-02T13:14:32,2025-12-02T13:19:33,normal
b,2025-12-02T13:24:33,2025-12-02T13:54:33,high
c,2025-12-02T13:59:32,2025-12-02T15:59:32,normal
b,2025-12-02T16:04:32,2025-12-02T16:59:33,high
c,2025-12-02T17:04:32,2025-12-02T18:44:32,normal
b,2025-12-02T18:49:32,2025-12-02T19:29:32,high
c,2025-12-02T19:34:33,2025-12-03T00:39:32,normal
b,2025-12-03T00:44:32,2025-12-03T00:44:32,high
c,2025-12-03T00:49:32,2025-12-03T00:49:32,normal
b,2025-12-03T00:54:31,2025-12-03T01:09:33,high
c,2025-12-03T01:14:32,2025-12-03T02:34:31,normal
d,2025-12-03T02:39:32,2025-12-03T02:59:32,low
c,2025-12-03T03:04:32,2025-12-03T09:54:32,normal
d,2025-12-03T09:59:32,2025-12-03T10:24:32,low
c,2025-12-03T10:29:32,2025-12-03T16:59:31,normal
b,2025-12-03T17:04:31,2025-12-03T17:39:31,high
a,2025-12-03T17:44:31,2025-12-03T18:04:31,extremely_high
b,2025-12-03T18:09:31,2025-12-03T18:29:33,high
c,2025-12-03T18:34:31,2025-12-04T03:29:31,normal
d,2025-12-04T03:34:30,2025-12-04T03:44:30,low
c,2025-12-04T03:49:30,2025-12-04T03:49:30,normal
d,2025-12-04T03:54:31,2025-12-04T04:04:31,low
e,2025-12-04T04:09:30,2025-12-04T04:19:31,extremely_low
c,2025-12-04T04:59:31,2025-12-04T04:59:31,normal
b,2025-12-04T05:04:30,2025-12-04T05:09:30,high
c,2025-12-04T05:14:30,2025-12-04T05:24:31,normal
b,2025-12-04T05:29:30,2025-12-04T05:49:31,high
c,2025-12-04T05:54:31,2025-12-04T09:59:30,normal
d,2025-12-04T10:04:30,2025-12-04T10:09:31,low
c,2025-12-04T10:14:31,2025-12-04T10:14:31,normal
d,2025-12-04T10:19:30,2025-12-04T10:49:31,low
c,2025-12-04T10:54:30,2025-12-04T11:14:31,normal
d,2025-12-04T11:19:31,2025-12-04T11:29:30,low
c,2025-12-04T11:34:31,2025-12-04T11:54:31,normal
d,2025-12-04T11:59:30,2025-12-04T12:14:31,low
c,2025-12-04T12:19:30,2025-12-04T15:54:30,normal
b,2025-12-04T15:59:30,2025-12-04T16:19:30,high
c,2025-12-04T16:24:31,2025-12-04T18:54:31,normal
b,2025-12-04T18:59:31,2025-12-04T19:49:31,high
c,2025-12-04T19:54:30,2025-12-04T23:24:31,normal
b,2025-12-04T23:29:30,2025-12-05T00:19:30,high
c,2025-12-05T00:24:30,2025-12-05T00:24:30,normal
b,2025-12-05T00:29:30,2025-12-05T00:29:30,high
c,2025-12-05T00:34:31,2025-12-05T00:34:31,normal
b,2025-12-05T00:39:31,2025-12-05T00:49:30,high
c,2025-12-05T00:54:30,2025-12-05T10:19:30,normal
d,2025-12-05T10:24:29,2025-12-05T10:24:29,low
c,2025-12-05T10:29:30,2025-12-05T12:44:30,normal
b,2025-12-05T12:49:29,2025-12-05T13:24:30,high
c,2025-12-05T13:29:30,2025-12-05T16:24:29,normal
b,2025-12-05T16:29:29,2025-12-05T17:14:30,high
c,2025-12-05T17:19:30,2025-12-05T22:09:30,normal
d,2025-12-05T22:14:29,2025-12-05T22:14:29,low
c,2025-12-05T22:19:30,2025-12-05T22:29:29,normal
d,2025-12-05T22:34:30,2025-12-05T22:34:30,low
c,2025-12-05T22:39:31,2025-12-05T23:19:30,normal
d,2025-12-05T23:24:29,2025-12-05T23:24:29,low
c,2025-12-05T23:29:29,2025-12-06T00:39:30,normal
b,2025-12-06T00:44:29,2025-12-06T01:09:29,high
c,2025-12-06T01:14:30,2025-12-06T01:34:30,normal
d,2025-12-06T01:39:30,2025-12-06T01:54:29,low
c,2025-12-06T01:59:29,2025-12-06T02:19:29,normal
d,2025-12-06T02:24:29,2025-12-06T02:59:29,low
c,2025-12-06T03:04:29,2025-12-06T12:39:29,normal
b,2025-12-06T12:44:29,2025-12-06T13:24:29,high
c,2025-12-06T13:29:29,2025-12-06T17:29:29,normal
b,2025-12-06T17:34:28,2025-12-06T19:19:29,high
c,2025-12-06T19:24:29,2025-12-06T19:39:29,normal
b,2025-12-06T19:44:29,2025-12-06T19:44:29,high
c,2025-12-06T19:49:29,2025-12-06T19:54:29,normal
b,2025-12-06T19:59:29,2025-12-06T20:29:29,high
c,2025-12-06T20:34:29,2025-12-06T22:49:29,normal
d,2025-12-06T22:54:29,2025-12-06T22:54:29,low
c,2025-12-06T22:59:28,2025-12-07T04:59:29,normal
b,2025-12-07T05:04:28,2025-12-07T05:09:28,high
c,2025-12-07T05:14:29,2025-12-07T12:04:28,normal
b,2025-12-07T12:09:28,2025-12-07T12:59:28,high
c,2025-12-07T13:04:28,2025-12-07T13:54:28,normal
d,2025-12-07T13:59:29,2025-12-07T14:09:29,low
c,2025-12-07T14:14:28,2025-12-07T15:49:29,normal
d,2025-12-07T15:54:28,2025-12-07T15:54:28,low
c,2025-12-07T15:59:29,2025-12-07T16:24:29,normal
d,2025-12-07T16:29:28,2025-12-07T16:34:29,low
c,2025-12-07T16:39:29,2025-12-07T21:04:29,normal
b,2025-12-07T21:09:28,2025-12-07T21:39:28,high
c,2025-12-07T21:44:28,2025-12-08T03:54:28,normal
b,2025-12-08T03:59:28,2025-12-08T04:09:28,high
c,2025-12-08T04:14:28,2025-12-08T04:24:28,normal
b,2025-12-08T04:29:28,2025-12-08T05:09:29,high
c,2025-12-08T05:14:28,2025-12-08T12:04:28,normal
b,2025-12-08T12:09:28,2025-12-08T12:29:27,high
a,2025-12-08T12:34:28,2025-12-08T13:29:27,extremely_high
b,2025-12-08T13:34:27,2025-12-08T13:49:28,high
c,2025-12-08T13:54:28,2025-12-08T14:49:28,normal
d,2025-12-08T14:54:28,2025-12-08T14:59:28,low
c,2025-12-08T15:04:28,2025-12-08T18:19:28,normal
d,2025-12-08T18:24:28,2025-12-08T18:24:28,low
c,2025-12-08T18:29:28,2025-12-08T19:39:28,normal
b,2025-12-08T19:44:28,2025-12-08T19:44:28,high
c,2025-12-08T19:49:28,2025-12-09T22:24:27,normal
d,2025-12-09T22:29:27,2025-12-09T22:34:27,low
c,2025-12-09T22:39:27,2025-12-10T00:34:28,normal
b,2025-12-10T00:39:27,2025-12-10T00:59:27,high
c,2025-12-10T01:04:28,2025-12-10T01:04:28,normal
b,2025-12-10T01:09:27,2025-12-10T01:09:27,high
c,2025-12-10T01:14:27,2025-12-10T01:44:27,normal
d,2025-12-10T01:49:27,2025-12-10T01:54:27,low
c,2025-12-10T01:59:27,2025-12-10T02:04:27,normal
d,2025-12-10T02:09:27,2025-12-10T02:14:28,low
c,2025-12-10T02:19:27,2025-12-10T04:39:26,normal
d,2025-12-10T04:44:27,2025-12-10T05:34:27,low
c,2025-12-10T05:39:27,2025-12-10T09:59:27,normal
d,2025-12-10T10:04:27,2025-12-10T10:14:27,low
c,2025-12-10T10:19:29,2025-12-10T11:29:27,normal
b,2025-12-10T11:34:27,2025-12-10T11:49:28,high
c,2025-12-10T11:54:27,2025-12-10T13:54:27,normal
b,2025-12-10T13:59:27,2025-12-10T13:59:27,high
c,2025-12-10T14:04:27,2025-12-10T19:19:26,normal
b,2025-12-10T19:24:26,2025-12-10T21:09:27,high
c,2025-12-10T21:14:27,2025-12-11T02:29:27,normal
b,2025-12-11T02:34:27,2025-12-11T03:24:27,high
c,2025-12-11T03:29:26,2025-12-11T03:39:26,normal
b,2025-12-11T03:44:26,2025-12-11T05:14:26,high
c,2025-12-11T05:19:26,2025-12-11T09:39:27,normal
d,2025-12-11T09:44:27,2025-12-11T09:44:27,low
c,2025-12-11T09:49:27,2025-12-11T12:24:27,normal
b,2025-12-11T12:29:27,2025-12-11T12:34:27,high
c,2025-12-11T12:39:27,2025-12-11T12:39:27,normal
b,2025-12-11T12:44:26,2025-12-11T13:04:26,high
c,2025-12-11T13:09:27,2025-12-11T13:09:27,normal
b,2025-12-11T13:14:27,2025-12-11T13:14:27,high
c,2025-12-11T13:19:28,2025-12-11T14:59:26,normal
d,2025-12-11T15:04:27,2025-12-11T15:14:27,low
c,2025-12-11T15:19:28,2025-12-11T17:34:26,normal
b,2025-12-11T17:39:26,2025-12-11T18:04:26,high
c,2025-12-11T18:09:26,2025-12-11T18:09:26,normal
b,2025-12-11T18:14:26,2025-12-11T18:14:26,high
c,2025-12-11T18:19:27,2025-12-11T18:29:27,normal
b,2025-12-11T18:34:27,2025-12-11T19:44:26,high
c,2025-12-11T19:49:27,2025-12-11T20:19:26,normal
b,2025-12-11T20:24:27,2025-12-11T20:29:27,high
c,2025-12-11T20:34:26,2025-12-11T21:39:26,normal
b,2025-12-11T21:44:27,2025-12-11T21:49:26,high
c,2025-12-11T21:54:27,2025-12-12T00:39:26,normal
b,2025-12-12T00:44:26,2025-12-12T01:04:26,high
c,2025-12-12T01:09:26,2025-12-12T10:34:26,normal
b,2025-12-12T10:39:26,2025-12-12T10:39:26,high
c,2025-12-12T10:44:26,2025-12-12T10:44:26,normal
b,2025-12-12T10:49:26,2025-12-12T11:39:26,high
c,2025-12-12T11:44:26,2025-12-12T12:19:26,normal
d,2025-12-12T12:24:26,2025-12-12T12:24:26,low
c,2025-12-12T12:29:26,2025-12-12T14:29:26,normal
d,2025-12-12T14:34:26,2025-12-12T14:44:26,low
c,2025-12-12T14:49:26,2025-12-12T21:39:25,normal
d,2025-12-12T22:37:51,2025-12-12T22:42:51,low
c,2025-12-12T22:47:51,2025-12-13T00:52:51,normal
b,2025-12-13T00:57:51,2025-12-13T01:37:51,high
c,2025-12-13T01:42:51,2025-12-13T10:57:52,normal
b,2025-12-13T11:02:52,2025-12-13T11:57:52,high
c,2025-12-13T12:02:53,2025-12-13T12:17:52,normal
b,2025-12-13T12:22:52,2025-12-13T13:02:52,high
c,2025-12-13T13:07:52,2025-12-13T16:32:54,normal
b,2025-12-13T16:37:53,2025-12-13T17:27:53,high
c,2025-12-13T17:32:53,2025-12-13T20:17:53,normal
b,2025-12-13T20:22:53,2025-12-13T21:02:53,high
c,2025-12-13T21:07:53,2025-12-13T23:07:54,normal
b,2025-12-13T23:12:54,2025-12-14T01:17:54,high
c,2025-12-14T01:22:54,2025-12-14T12:57:54,normal
b,2025-12-14T13:02:55,2025-12-14T13:37:55,high
c,2025-12-14T13:42:55,2025-12-14T18:07:55,normal
b,2025-12-14T18:12:55,2025-12-14T19:02:55,high
c,2025-12-14T19:07:55,2025-12-14T20:57:57,normal
b,2025-12-14T21:02:55,2025-12-14T21:12:56,high
c,2025-12-14T21:17:56,2025-12-14T22:37:56,normal
b,2025-12-14T22:42:55,2025-12-14T22:42:55,high
c,2025-12-14T22:47:55,2025-12-14T22:52:55,normal
b,2025-12-14T22:57:57,2025-12-14T23:47:56,high
a,2025-12-14T23:52:56,2025-12-15T00:42:55,extremely_high
b,2025-12-15T00:47:56,2025-12-15T01:27:55,high
c,2025-12-15T01:32:56,2025-12-15T01:32:56,normal
b,2025-12-15T01:37:56,2025-12-15T01:52:55,high
c,2025-12-15T01:57:56,2025-12-15T05:42:57,normal
b,2025-12-15T05:47:57,2025-12-15T06:27:56,high
c,2025-12-15T06:32:57,2025-12-15T09:52:56,normal
b,2025-12-15T09:57:57,2025-12-15T10:32:57,high
c,2025-12-15T10:37:57,2025-12-15T11:07:58,normal
d,2025-12-15T11:12:56,2025-12-15T11:22:57,low
c,2025-12-15T11:27:57,2025-12-15T13:22:57,normal
d,2025-12-15T13:27:57,2025-12-15T13:37:57,low
c,2025-12-15T13:42:57,2025-12-15T20:42:57,normal
b,2025-12-15T20:47:57,2025-12-15T21:52:58,high
c,2025-12-15T21:57:57,2025-12-15T22:17:57,normal
d,2025-12-15T22:22:58,2025-12-15T23:02:57,low
c,2025-12-15T23:07:58,2025-12-16T05:12:59,normal
b,2025-12-16T05:17:58,2025-12-16T05:27:58,high
c,2025-12-16T05:32:59,2025-12-16T12:08:00,normal
d,2025-12-16T12:13:00,2025-12-16T12:17:59,low
c,2025-12-16T12:23:00,2025-12-16T17:03:00,normal
d,2025-12-16T17:07:59,2025-12-16T17:07:59,low
c,2025-12-16T17:13:00,2025-12-16T20:23:00,normal
b,2025-12-16T20:43:00,2025-12-16T20:48:00,high
c,2025-12-16T20:53:01,2025-12-16T22:28:00,normal
b,2025-12-16T22:33:00,2025-12-16T23:03:00,high
a,2025-12-16T23:08:01,2025-12-16T23:13:00,extremely_high
b,2025-12-16T23:18:00,2025-12-16T23:23:00,high
a,2025-12-16T23:28:01,2025-12-17T00:28:01,extremely_high
b,2025-12-17T00:33:01,2025-12-17T01:43:01,high
c,2025-12-17T01:48:01,2025-12-17T06:48:01,normal
d,2025-12-17T06:53:01,2025-12-17T07:23:01,low
c,2025-12-17T07:28:02,2025-12-17T08:23:02,normal
d,2025-12-17T08:28:02,2025-12-17T09:08:02,low
c,2025-12-17T09:13:02,2025-12-17T11:53:02,normal
d,2025-12-17T11:58:02,2025-12-17T12:18:02,low
c,2025-12-17T12:23:02,2025-12-17T13:23:02,normal
b,2025-12-17T13:28:02,2025-12-17T13:48:03,high
c,2025-12-17T13:53:02,2025-12-17T14:38:02,normal
d,2025-12-17T14:43:02,2025-12-17T15:03:03,low
c,2025-12-17T15:08:02,2025-12-17T19:58:03,normal
b,2025-12-17T20:03:03,2025-12-17T21:28:03,high
c,2025-12-17T21:33:03,2025-12-17T21:58:03,normal
b,2025-12-17T22:03:03,2025-12-17T23:33:03,high
a,2025-12-17T23:38:03,2025-12-17T23:53:03,extremely_high
b,2025-12-17T23:58:03,2025-12-18T04:23:04,high
c,2025-12-18T04:28:03,2025-12-18T04:28:03,normal
b,2025-12-18T04:33:04,2025-12-18T04:33:04,high
c,2025-12-18T04:38:03,2025-12-18T12:53:04,normal
b,2025-12-18T12:58:04,2025-12-18T13:43:04,high
c,2025-12-18T13:48:04,2025-12-18T15:23:05,normal
b,2025-12-18T15:28:04,2025-12-18T16:28:05,high
c,2025-12-18T16:33:05,2025-12-18T18:38:05,normal
b,2025-12-18T18:43:05,2025-12-18T18:48:05,high
c,2025-12-18T18:53:05,2025-12-18T18:58:05,normal
b,2025-12-18T19:03:05,2025-12-18T20:08:05,high
c,2025-12-18T20:13:06,2025-12-18T21:18:06,normal
d,2025-12-18T21:23:06,2025-12-18T21:23:06,low
c,2025-12-18T21:28:06,2025-12-19T09:13:09,normal
d,2025-12-19T09:18:07,2025-12-19T09:58:07,low
c,2025-12-19T10:03:07,2025-12-19T11:38:08,normal
